@relation electricity_proces-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-unset-class-temporarily

@attribute Holiday=None numeric
@attribute 'Holiday=Christmas Eve' numeric
@attribute Holiday=Christmas numeric
@attribute 'Holiday=St Stephen\'s Day' numeric
@attribute 'Holiday=New Year\'s Eve' numeric
@attribute 'Holiday=New Year\'s Day' numeric
@attribute 'Holiday=St Patrick\'s Day' numeric
@attribute 'Holiday=Good Friday' numeric
@attribute 'Holiday=Holy Saturday' numeric
@attribute Holiday=Easter numeric
@attribute 'Holiday=Easter Monday' numeric
@attribute 'Holiday=May Day' numeric
@attribute 'Holiday=June Bank Holiday' numeric
@attribute 'Holiday=August Bank Holiday' numeric
@attribute 'Holiday=October Bank Holiday' numeric
@attribute HolidayFlag numeric
@attribute DayOfWeek numeric
@attribute WeekOfYear numeric
@attribute Day numeric
@attribute Month numeric
@attribute Year numeric
@attribute PeriodOfDay numeric
@attribute ForecastWindProduction numeric
@attribute SystemLoadEA numeric
@attribute SMPEA numeric
@attribute ORKTemperature numeric
@attribute ORKWindspeed numeric
@attribute CO2Intensity numeric
@attribute ActualWindProduction numeric
@attribute SystemLoadEP2 numeric
@attribute SMPEP2 numeric

@data
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,11,2011,0,315.31,3388.77,49.26,6,9.3,600.71,356,3159.6,54.32
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,11,2011,1,321.8,3196.66,49.26,6,11.1,605.42,317,2973.01,54.23
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,11,2011,2,328.57,3060.71,49.1,5,11.1,589.97,311,2834,54.23
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,11,2011,3,335.6,2945.56,48.04,6,9.3,585.94,313,2725.99,53.47
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,11,2011,4,342.9,2849.34,33.75,6,11.1,571.52,346,2655.64,39.87
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,11,2011,5,342.97,2810.01,33.75,5,11.1,562.61,342,2585.99,39.87
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,11,2011,6,343.18,2780.52,33.75,5,7.4,545.81,336,2561.7,39.87
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,11,2011,7,343.46,2762.67,33.75,5,9.3,539.38,338,2544.33,39.87
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,11,2011,8,343.88,2766.63,33.75,4,11.1,538.7,347,2549.02,39.87
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,11,2011,9,344.39,2786.8,33.75,4,7.4,540.39,338,2547.15,39.87
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,11,2011,10,345.02,2817.59,33.75,4,7.4,532.3,372,2584.58,39.87
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,11,2011,11,342.23,2895.62,47.42,5,5.6,547.57,361,2641.37,39.87
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,11,2011,12,339.22,3039.67,44.31,5,3.7,556.14,383,2842.19,51.45
