@relation energy

@attribute lights numeric
@attribute T1 numeric
@attribute RH_1 numeric
@attribute T2 numeric
@attribute RH_2 numeric
@attribute T3 numeric
@attribute RH_3 numeric
@attribute T4 numeric
@attribute RH_4 numeric
@attribute T5 numeric
@attribute RH_5 numeric
@attribute T6 numeric
@attribute RH_6 numeric
@attribute T7 numeric
@attribute RH_7 numeric
@attribute T8 numeric
@attribute RH_8 numeric
@attribute T9 numeric
@attribute RH_9 numeric
@attribute T_out numeric
@attribute Press_mm_hg numeric
@attribute RH_out numeric
@attribute Windspeed numeric
@attribute Visibility numeric
@attribute Tdewpoint numeric
@attribute rv1 numeric
@attribute rv2 numeric
@attribute Appliances numeric

@data
30,19.89,47.596667,19.2,44.79,19.79,44.73,19,45.566667,17.166667,55.2,7.026667,84.256667,17.2,41.626667,18.2,48.9,17.033333,45.53,6.6,733.5,92,7,63,5.3,13.275433,13.275433,60
30,19.89,46.693333,19.2,44.7225,19.79,44.79,19,45.9925,17.166667,55.2,6.833333,84.063333,17.2,41.56,18.2,48.863333,17.066667,45.56,6.483333,733.6,92,6.666667,59.166667,5.2,18.606195,18.606195,60
30,19.89,46.3,19.2,44.626667,19.79,44.933333,18.926667,45.89,17.166667,55.09,6.56,83.156667,17.2,41.433333,18.2,48.73,17,45.5,6.366667,733.7,92,6.333333,55.333333,5.1,28.642668,28.642668,50
40,19.89,46.066667,19.2,44.59,19.79,45,18.89,45.723333,17.166667,55.09,6.433333,83.423333,17.133333,41.29,18.1,48.59,17,45.4,6.25,733.8,92,6,51.5,5,45.410389,45.410389,50
40,19.89,46.333333,19.2,44.53,19.79,45,18.89,45.53,17.2,55.09,6.366667,84.893333,17.2,41.23,18.1,48.59,17,45.4,6.133333,733.9,92,5.666667,47.666667,4.9,10.084097,10.084097,60
40,19.89,46.026667,19.2,44.5,19.79,44.933333,18.89,45.73,17.133333,55.03,6.3,85.766667,17.133333,41.26,18.1,48.59,17,45.29,6.016667,734,92,5.333333,43.833333,4.8,44.919484,44.919484,50
50,19.89,45.766667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.966667,6.263333,86.09,17.133333,41.2,18.1,48.59,17,45.29,5.9,734.1,92,5,40,4.7,47.233763,47.233763,60
50,19.856667,45.56,19.2,44.5,19.73,44.9,18.89,45.863333,17.1,54.9,6.19,86.423333,17.1,41.2,18.1,48.59,17,45.29,5.916667,734.166667,91.833333,5.166667,40,4.683333,33.03989,33.03989,60
40,19.79,45.5975,19.2,44.433333,19.73,44.79,18.89,45.79,17.166667,55,6.123333,87.226667,17.166667,41.4,18.1,48.59,17,45.29,5.933333,734.233333,91.666667,5.333333,40,4.666667,31.455702,31.455702,60
40,19.856667,46.09,19.23,44.4,19.79,44.863333,18.89,46.096667,17.1,55,6.19,87.626667,17.2,41.5,18.1,48.59,17,45.29,5.95,734.3,91.5,5.5,40,4.65,3.089314,3.089314,70
